split,interval,coin,p,d,q,aic,cv_rmse,cv_std,test_rmse
2024-10-01,10min,BNBUSDT,0,1,1,-1625319.0124942146,0.07317289637085876,0.04832665279761946,0.05366236858344032
2024-10-01,10min,BTCUSDT,3,0,3,-1734267.886009056,0.0023517733958316727,0.0004934115508778279,0.0023548527996500464
2024-10-01,10min,ETHUSDT,3,0,0,-1646296.652195771,0.002867189733509421,0.0008166649758994906,0.0033166247170687045
2024-10-01,10min,SOLUSDT,0,1,3,-1461456.153337733,0.010228288536774127,0.0027213319679481023,0.021440159537134244
2024-10-01,10min,XRPUSDT,3,0,2,-1543840.9346488118,0.0034790696004243153,0.0004353661629344496,0.005319608132114318
2024-10-01,1h,BNBUSDT,1,1,1,-214527.409118098,0.02015107665496549,0.006248635868204981,0.015599110190555812
2024-10-01,1h,BTCUSDT,0,0,0,-234237.167161798,0.005666444349041955,0.0010953859785105024,0.005728164964345895
2024-10-01,1h,ETHUSDT,2,0,2,-218999.95671636186,0.006958973241618735,0.0018985698916023838,0.008195391710605838
2024-10-01,1h,SOLUSDT,2,1,2,-187962.06520473736,0.01638067249736142,0.003495401004075715,0.011041177728593057
2024-10-01,1h,XRPUSDT,0,0,2,-202902.87216696917,0.008355171742162023,0.000944444922211963,0.012822207304265525
2024-10-01,1d,BNBUSDT,2,0,0,-4506.986897764165,0.03157025244076128,0.0066659234031541574,0.026800183305078776
2024-10-01,1d,BTCUSDT,1,0,0,-5455.770162869756,0.028318637818587584,0.005340122125443683,0.02649997721948235
2024-10-01,1d,ETHUSDT,1,0,0,-4758.203293705134,0.03467728712019321,0.009806557693881252,0.03942316055591066
2024-10-01,1d,SOLUSDT,0,1,2,-3634.458974383275,0.05719831512325415,0.007104206484858835,0.04928137667723051
2024-10-01,1d,XRPUSDT,0,0,2,-4137.841346053039,0.0407792767912756,0.005908411955493671,0.05909128073581505
2025-01-01,1min,BNBUSDT,1,0,1,-22310156.280387316,0.000873154889709141,0.000129299380481892,0.0008147724753832982
2025-01-01,1min,BTCUSDT,1,0,1,-23396502.91547683,0.0007481299201529014,0.00012993580933108337,0.0007858786282738836
2025-01-01,1min,ETHUSDT,1,0,1,-22482180.43723216,0.0009115883651285734,0.00022630628118236272,0.0011941100180435727
2025-01-01,1min,SOLUSDT,1,0,1,-20568673.449067272,0.0015159978436639085,0.00020560386568664138,0.001493313290841065
2025-01-01,1min,XRPUSDT,1,0,1,-21225316.969129227,0.0011909148040871213,0.00011789516386517755,0.0015809759305433827
2025-01-01,10min,BNBUSDT,3,0,0,-1744114.948716878,0.002721346936233398,0.0004747954939891301,0.002560697442672369
2025-01-01,10min,BTCUSDT,3,0,3,-1856663.517986628,0.002344842660931977,0.00041632714035918784,0.0024467814190971032
2025-01-01,10min,ETHUSDT,3,0,0,-1762400.4292816464,0.0028719595404388776,0.0007435174736919222,0.003637225953524372
2025-01-01,10min,SOLUSDT,0,1,3,-1569482.9963197438,0.018594764059204866,0.013329362169309808,0.04957292353611311
2025-01-01,10min,XRPUSDT,3,0,3,-1642323.4334819994,0.0037027497401790773,0.00040679706599970985,0.00499671786639433
2025-01-01,1h,BNBUSDT,2,0,0,-230237.77127168226,0.006663804965551364,0.0011808765149662016,0.006282878433919833
2025-01-01,1h,BTCUSDT,0,0,0,-250813.6141745568,0.005659819387513483,0.0009257233642236597,0.005958213432847441
2025-01-01,1h,ETHUSDT,0,0,0,-234430.21521947504,0.0069825958306797406,0.0017219247520197552,0.009003901195289168
2025-01-01,1h,SOLUSDT,2,1,1,-202324.34775792956,0.054216563935590295,0.02952409738251391,0.01212136562869067
2025-01-01,1h,XRPUSDT,2,0,1,-215343.14166370413,0.008920210356518103,0.0008143662952919833,0.01202769590462031
2025-01-01,1d,BNBUSDT,3,0,1,-4868.424148747753,0.031094983821074004,0.006604589232619841,0.026794072039657356
2025-01-01,1d,BTCUSDT,0,0,0,-5859.991562295407,0.02818567712393566,0.004411549272183175,0.027534870466724863
2025-01-01,1d,ETHUSDT,1,0,0,-5110.607846951301,0.03474509316454827,0.008987362406054368,0.04353023400797553
2025-01-01,1d,SOLUSDT,0,0,0,-3941.5212481385274,0.05356379577201057,0.010330357334665707,0.056778100550005574
2025-01-01,1d,XRPUSDT,0,0,0,-4381.391812441463,0.04324340609797287,0.001417467438419213,0.055881819017270004
